subset_id,record_set,draw_order,gm_id
0,FF22,0,H-E11140
0,FF22,1,184057
0,FF22,2,HWA055-W
0,FF22,3,JOS090
0,FF22,4,HWA055-W
0,FF22,5,JOS090
0,FF22,6,CHY059-V
0,FF22,7,PEL090
0,FF22,8,BOL090
0,FF22,9,HWA055-W
0,FFext,0,ABBAR--T
0,FFext,1,CHY059-V
0,FFext,2,ILA027-N
0,FFext,3,ABBAR--T
0,FFext,4,CHY059-V
0,FFext,5,ARC000
0,FFext,6,ARC000
0,FFext,7,H-DLTDWN
0,FFext,8,ARC000
0,FFext,9,STM090
0,NF28,0,NF8201262
0,NF28,1,NF8208252
0,NF28,2,NF8208022
0,NF28,3,NF8202922
0,NF28,4,NF8215041
0,NF28,5,NF8208252
0,NF28,6,NF8202922
0,NF28,7,NF8201262
0,NF28,8,NF8201262
0,NF28,9,NF8208211
1,FF22,0,184057
1,FF22,1,HWA055-W
1,FF22,2,TAP100-E
1,FF22,3,PEL090
1,FF22,4,H-E11140
1,FF22,5,CHY059-V
1,FF22,6,TAP100-E
1,FF22,7,LOS270
1,FF22,8,JOS090
1,FF22,9,CHY104-W
1,FFext,0,ILA027-N
1,FFext,1,STM360
1,FFext,2,H-DLTDWN
1,FFext,3,CHY059-V
1,FFext,4,ILA027-N
1,FFext,5,PEL180
1,FFext,6,CH12000
1,FFext,7,PEL180
1,FFext,8,ABBAR--T
1,FFext,9,STM360
1,NF28,0,NF8208211
1,NF28,1,NF8211652
1,NF28,2,NF8201262
1,NF28,3,NF8215041
1,NF28,4,NF8208211
1,NF28,5,NF8202922
1,NF28,6,NF8210631
1,NF28,7,NF8202922
1,NF28,8,NF8215041
1,NF28,9,NF8201262
2,FF22,0,TAP100-E
2,FF22,1,184057
2,FF22,2,PEL090
2,FF22,3,CHY104-W
2,FF22,4,BOL090
2,FF22,5,H-E11140
2,FF22,6,CHY104-W
2,FF22,7,HWA055-W
2,FF22,8,CHY059-V
2,FF22,9,TAP100-E
2,FFext,0,CHY059-V
2,FFext,1,PEL180
2,FFext,2,ARC000
2,FFext,3,STM090
2,FFext,4,ABBAR--T
2,FFext,5,CH12000
2,FFext,6,PEL180
2,FFext,7,CHY059-V
2,FFext,8,STM360
2,FFext,9,STM090
2,NF28,0,NF8208211
2,NF28,1,NF8201601
2,NF28,2,NF8201601
2,NF28,3,NF8215041
2,NF28,4,NF8201262
2,NF28,5,NF8208252
2,NF28,6,NF8208022
2,NF28,7,NF8211652
2,NF28,8,NF8208022
2,NF28,9,NF8211652
3,FF22,0,TAP100-E
3,FF22,1,BOL090
3,FF22,2,LOS270
3,FF22,3,BOL090
3,FF22,4,HWA055-W
3,FF22,5,HWA055-W
3,FF22,6,TAP100-E
3,FF22,7,BOL090
3,FF22,8,JOS090
3,FF22,9,BOL090
3,FFext,0,ARC000
3,FFext,1,STM360
3,FFext,2,PEL180
3,FFext,3,ABBAR--T
3,FFext,4,STM090
3,FFext,5,CH12000
3,FFext,6,ILA027-N
3,FFext,7,STM360
3,FFext,8,ARC000
3,FFext,9,PEL180
3,NF28,0,NF8208211
3,NF28,1,NF8208211
3,NF28,2,NF8208252
3,NF28,3,NF8215041
3,NF28,4,NF8210631
3,NF28,5,NF8208211
3,NF28,6,NF8202922
3,NF28,7,NF8201811
3,NF28,8,NF8211652
3,NF28,9,NF8215041
4,FF22,0,H-E11140
4,FF22,1,H-E11140
4,FF22,2,CHY104-W
4,FF22,3,PEL090
4,FF22,4,BOL090
4,FF22,5,BOL090
4,FF22,6,TAP100-E
4,FF22,7,CHY104-W
4,FF22,8,CHY059-V
4,FF22,9,HWA055-W
4,FFext,0,H-DLTDWN
4,FFext,1,ABBAR--T
4,FFext,2,ARC000
4,FFext,3,CHY059-V
4,FFext,4,CHY059-V
4,FFext,5,CHY059-V
4,FFext,6,ILA027-N
4,FFext,7,H-DLTDWN
4,FFext,8,ILA027-E
4,FFext,9,CHY059-V
4,NF28,0,NF8208252
4,NF28,1,NF8208211
4,NF28,2,NF8210631
4,NF28,3,NF8211652
4,NF28,4,NF8210631
4,NF28,5,NF8201811
4,NF28,6,NF8202922
4,NF28,7,NF8215041
4,NF28,8,NF8201601
4,NF28,9,NF8201262
5,FF22,0,H-E11140
5,FF22,1,CHY104-W
5,FF22,2,TAP100-E
5,FF22,3,LOS270
5,FF22,4,H-E11140
5,FF22,5,H-E11140
5,FF22,6,H-E11140
5,FF22,7,CHY104-W
5,FF22,8,CHY059-V
5,FF22,9,TAP100-E
5,FFext,0,CHY059-V
5,FFext,1,ILA027-E
5,FFext,2,ILA027-E
5,FFext,3,ILA027-E
5,FFext,4,H-DLTDWN
5,FFext,5,ILA027-E
5,FFext,6,H-DLTDWN
5,FFext,7,CH12000
5,FFext,8,CHY059-V
5,FFext,9,ARC000
5,NF28,0,NF8215041
5,NF28,1,NF8201811
5,NF28,2,NF8211652
5,NF28,3,NF8215041
5,NF28,4,NF8208022
5,NF28,5,NF8208022
5,NF28,6,NF8201262
5,NF28,7,NF8210631
5,NF28,8,NF8210631
5,NF28,9,NF8215041
6,FF22,0,BOL090
6,FF22,1,CHY059-V
6,FF22,2,TAP100-E
6,FF22,3,CHY059-V
6,FF22,4,H-E11140
6,FF22,5,PEL090
6,FF22,6,CHY104-W
6,FF22,7,CHY059-V
6,FF22,8,H-E11140
6,FF22,9,CHY104-W
6,FFext,0,ARC000
6,FFext,1,STM360
6,FFext,2,ARC000
6,FFext,3,STM090
6,FFext,4,ILA027-E
6,FFext,5,H-DLTDWN
6,FFext,6,CHY059-V
6,FFext,7,ABBAR--T
6,FFext,8,ILA027-E
6,FFext,9,ARC000
6,NF28,0,NF8201601
6,NF28,1,NF8208252
6,NF28,2,NF8201601
6,NF28,3,NF8208022
6,NF28,4,NF8208211
6,NF28,5,NF8201811
6,NF28,6,NF8201262
6,NF28,7,NF8202922
6,NF28,8,NF8202922
6,NF28,9,NF8201601
7,FF22,0,CHY059-V
7,FF22,1,TAP100-E
7,FF22,2,TAP100-E
7,FF22,3,H-E11140
7,FF22,4,PEL090
7,FF22,5,TAP100-E
7,FF22,6,CHY104-W
7,FF22,7,H-E11140
7,FF22,8,TAP100-E
7,FF22,9,TAP100-E
7,FFext,0,CHY059-V
7,FFext,1,CHY059-V
7,FFext,2,CH12000
7,FFext,3,ILA027-E
7,FFext,4,ARC000
7,FFext,5,ARC000
7,FFext,6,ARC000
7,FFext,7,STM360
7,FFext,8,CH12000
7,FFext,9,STM090
7,NF28,0,NF8202922
7,NF28,1,NF8202922
7,NF28,2,NF8210631
7,NF28,3,NF8208022
7,NF28,4,NF8210631
7,NF28,5,NF8202922
7,NF28,6,NF8201262
7,NF28,7,NF8215041
7,NF28,8,NF8215041
7,NF28,9,NF8201262
8,FF22,0,LOS270
8,FF22,1,BOL090
8,FF22,2,H-E11140
8,FF22,3,H-E11140
8,FF22,4,PEL090
8,FF22,5,LOS270
8,FF22,6,HWA055-W
8,FF22,7,TAP100-E
8,FF22,8,LOS270
8,FF22,9,184057
8,FFext,0,ILA027-N
8,FFext,1,CH12000
8,FFext,2,ILA027-E
8,FFext,3,STM090
8,FFext,4,STM360
8,FFext,5,PEL180
8,FFext,6,CHY059-V
8,FFext,7,STM360
8,FFext,8,STM090
8,FFext,9,ILA027-N
8,NF28,0,NF8201601
8,NF28,1,NF8208211
8,NF28,2,NF8208211
8,NF28,3,NF8211652
8,NF28,4,NF8211652
8,NF28,5,NF8202922
8,NF28,6,NF8201811
8,NF28,7,NF8208252
8,NF28,8,NF8208022
8,NF28,9,NF8201262
9,FF22,0,CHY059-V
9,FF22,1,BOL090
9,FF22,2,CHY104-W
9,FF22,3,TAP100-E
9,FF22,4,JOS090
9,FF22,5,HWA055-W
9,FF22,6,184057
9,FF22,7,CHY104-W
9,FF22,8,184057
9,FF22,9,PEL090
9,FFext,0,ARC000
9,FFext,1,H-DLTDWN
9,FFext,2,ABBAR--T
9,FFext,3,STM090
9,FFext,4,H-DLTDWN
9,FFext,5,STM090
9,FFext,6,CH12000
9,FFext,7,ILA027-N
9,FFext,8,ILA027-E
9,FFext,9,ARC000
9,NF28,0,NF8211652
9,NF28,1,NF8201262
9,NF28,2,NF8208022
9,NF28,3,NF8211652
9,NF28,4,NF8201601
9,NF28,5,NF8211652
9,NF28,6,NF8201262
9,NF28,7,NF8201262
9,NF28,8,NF8208252
9,NF28,9,NF8210631
10,FF22,0,CHY059-V
10,FF22,1,HWA055-W
10,FF22,2,LOS270
10,FF22,3,184057
10,FF22,4,LOS270
10,FF22,5,H-E11140
10,FF22,6,BOL090
10,FF22,7,184057
10,FF22,8,CHY059-V
10,FF22,9,JOS090
10,FFext,0,H-DLTDWN
10,FFext,1,ABBAR--T
10,FFext,2,STM090
10,FFext,3,H-DLTDWN
10,FFext,4,ILA027-N
10,FFext,5,CHY059-V
10,FFext,6,ABBAR--T
10,FFext,7,H-DLTDWN
10,FFext,8,ABBAR--T
10,FFext,9,STM090
10,NF28,0,NF8210631
10,NF28,1,NF8215041
10,NF28,2,NF8208022
10,NF28,3,NF8215041
10,NF28,4,NF8202922
10,NF28,5,NF8208022
10,NF28,6,NF8208252
10,NF28,7,NF8215041
10,NF28,8,NF8208022
10,NF28,9,NF8211652
11,FF22,0,PEL090
11,FF22,1,TAP100-E
11,FF22,2,PEL090
11,FF22,3,CHY059-V
11,FF22,4,CHY059-V
11,FF22,5,CHY104-W
11,FF22,6,TAP100-E
11,FF22,7,LOS270
11,FF22,8,H-E11140
11,FF22,9,JOS090
11,FFext,0,H-DLTDWN
11,FFext,1,STM090
11,FFext,2,PEL180
11,FFext,3,ILA027-E
11,FFext,4,STM090
11,FFext,5,ARC000
11,FFext,6,ILA027-E
11,FFext,7,ILA027-E
11,FFext,8,PEL180
11,FFext,9,STM090
11,NF28,0,NF8208252
11,NF28,1,NF8211652
11,NF28,2,NF8210631
11,NF28,3,NF8210631
11,NF28,4,NF8208252
11,NF28,5,NF8202922
11,NF28,6,NF8208022
11,NF28,7,NF8202922
11,NF28,8,NF8201811
11,NF28,9,NF8208252
12,FF22,0,184057
12,FF22,1,HWA055-W
12,FF22,2,CHY104-W
12,FF22,3,CHY104-W
12,FF22,4,H-E11140
12,FF22,5,JOS090
12,FF22,6,CHY059-V
12,FF22,7,TAP100-E
12,FF22,8,HWA055-W
12,FF22,9,CHY104-W
12,FFext,0,PEL180
12,FFext,1,ABBAR--T
12,FFext,2,STM090
12,FFext,3,CHY059-V
12,FFext,4,STM360
12,FFext,5,ILA027-E
12,FFext,6,CH12000
12,FFext,7,ILA027-E
12,FFext,8,STM360
12,FFext,9,STM360
12,NF28,0,NF8208211
12,NF28,1,NF8208211
12,NF28,2,NF8201262
12,NF28,3,NF8201601
12,NF28,4,NF8215041
12,NF28,5,NF8215041
12,NF28,6,NF8211652
12,NF28,7,NF8201262
12,NF28,8,NF8208252
12,NF28,9,NF8208022
13,FF22,0,184057
13,FF22,1,CHY104-W
13,FF22,2,PEL090
13,FF22,3,CHY104-W
13,FF22,4,H-E11140
13,FF22,5,JOS090
13,FF22,6,184057
13,FF22,7,BOL090
13,FF22,8,HWA055-W
13,FF22,9,CHY059-V
13,FFext,0,ILA027-E
13,FFext,1,ILA027-N
13,FFext,2,CHY059-V
13,FFext,3,CH12000
13,FFext,4,CHY059-V
13,FFext,5,ARC000
13,FFext,6,STM360
13,FFext,7,ARC000
13,FFext,8,CHY059-V
13,FFext,9,CH12000
13,NF28,0,NF8210631
13,NF28,1,NF8208211
13,NF28,2,NF8211652
13,NF28,3,NF8208022
13,NF28,4,NF8215041
13,NF28,5,NF8210631
13,NF28,6,NF8208211
13,NF28,7,NF8208211
13,NF28,8,NF8208252
13,NF28,9,NF8201811
14,FF22,0,JOS090
14,FF22,1,LOS270
14,FF22,2,CHY059-V
14,FF22,3,184057
14,FF22,4,184057
14,FF22,5,TAP100-E
14,FF22,6,BOL090
14,FF22,7,LOS270
14,FF22,8,BOL090
14,FF22,9,H-E11140
14,FFext,0,ABBAR--T
14,FFext,1,CHY059-V
14,FFext,2,CHY059-V
14,FFext,3,ILA027-E
14,FFext,4,CHY059-V
14,FFext,5,ILA027-E
14,FFext,6,CH12000
14,FFext,7,STM090
14,FFext,8,CH12000
14,FFext,9,H-DLTDWN
14,NF28,0,NF8210631
14,NF28,1,NF8202922
14,NF28,2,NF8208211
14,NF28,3,NF8208252
14,NF28,4,NF8208022
14,NF28,5,NF8201601
14,NF28,6,NF8201601
14,NF28,7,NF8208252
14,NF28,8,NF8210631
14,NF28,9,NF8210631
15,FF22,0,CHY059-V
15,FF22,1,H-E11140
15,FF22,2,PEL090
15,FF22,3,CHY059-V
15,FF22,4,LOS270
15,FF22,5,CHY104-W
15,FF22,6,JOS090
15,FF22,7,TAP100-E
15,FF22,8,PEL090
15,FF22,9,H-E11140
15,FFext,0,PEL180
15,FFext,1,CH12000
15,FFext,2,STM360
15,FFext,3,H-DLTDWN
15,FFext,4,STM090
15,FFext,5,ARC000
15,FFext,6,H-DLTDWN
15,FFext,7,ILA027-N
15,FFext,8,STM090
15,FFext,9,CH12000
15,NF28,0,NF8210631
15,NF28,1,NF8215041
15,NF28,2,NF8208211
15,NF28,3,NF8208252
15,NF28,4,NF8208022
15,NF28,5,NF8208211
15,NF28,6,NF8208252
15,NF28,7,NF8215041
15,NF28,8,NF8208252
15,NF28,9,NF8211652
16,FF22,0,H-E11140
16,FF22,1,184057
16,FF22,2,JOS090
16,FF22,3,JOS090
16,FF22,4,H-E11140
16,FF22,5,LOS270
16,FF22,6,H-E11140
16,FF22,7,H-E11140
16,FF22,8,TAP100-E
16,FF22,9,CHY104-W
16,FFext,0,ABBAR--T
16,FFext,1,PEL180
16,FFext,2,H-DLTDWN
16,FFext,3,ILA027-E
16,FFext,4,STM360
16,FFext,5,PEL180
16,FFext,6,PEL180
16,FFext,7,PEL180
16,FFext,8,PEL180
16,FFext,9,STM360
16,NF28,0,NF8202922
16,NF28,1,NF8208022
16,NF28,2,NF8208252
16,NF28,3,NF8208022
16,NF28,4,NF8215041
16,NF28,5,NF8202922
16,NF28,6,NF8201262
16,NF28,7,NF8202922
16,NF28,8,NF8211652
16,NF28,9,NF8208252
17,FF22,0,JOS090
17,FF22,1,CHY059-V
17,FF22,2,JOS090
17,FF22,3,BOL090
17,FF22,4,TAP100-E
17,FF22,5,BOL090
17,FF22,6,PEL090
17,FF22,7,LOS270
17,FF22,8,BOL090
17,FF22,9,H-E11140
17,FFext,0,ILA027-E
17,FFext,1,ABBAR--T
17,FFext,2,STM090
17,FFext,3,H-DLTDWN
17,FFext,4,STM360
17,FFext,5,PEL180
17,FFext,6,STM360
17,FFext,7,CH12000
17,FFext,8,ILA027-E
17,FFext,9,H-DLTDWN
17,NF28,0,NF8201811
17,NF28,1,NF8201262
17,NF28,2,NF8210631
17,NF28,3,NF8215041
17,NF28,4,NF8215041
17,NF28,5,NF8201601
17,NF28,6,NF8208022
17,NF28,7,NF8210631
17,NF28,8,NF8208211
17,NF28,9,NF8202922
18,FF22,0,BOL090
18,FF22,1,H-E11140
18,FF22,2,CHY059-V
18,FF22,3,LOS270
18,FF22,4,BOL090
18,FF22,5,184057
18,FF22,6,184057
18,FF22,7,JOS090
18,FF22,8,JOS090
18,FF22,9,PEL090
18,FFext,0,ABBAR--T
18,FFext,1,CH12000
18,FFext,2,H-DLTDWN
18,FFext,3,CH12000
18,FFext,4,CHY059-V
18,FFext,5,ILA027-E
18,FFext,6,PEL180
18,FFext,7,STM090
18,FFext,8,ILA027-E
18,FFext,9,STM090
18,NF28,0,NF8208211
18,NF28,1,NF8208252
18,NF28,2,NF8201601
18,NF28,3,NF8201262
18,NF28,4,NF8211652
18,NF28,5,NF8208252
18,NF28,6,NF8201811
18,NF28,7,NF8208022
18,NF28,8,NF8211652
18,NF28,9,NF8202922
19,FF22,0,CHY059-V
19,FF22,1,CHY104-W
19,FF22,2,CHY059-V
19,FF22,3,PEL090
19,FF22,4,CHY059-V
19,FF22,5,TAP100-E
19,FF22,6,LOS270
19,FF22,7,BOL090
19,FF22,8,184057
19,FF22,9,184057
19,FFext,0,ABBAR--T
19,FFext,1,STM360
19,FFext,2,ILA027-N
19,FFext,3,CH12000
19,FFext,4,ARC000
19,FFext,5,CH12000
19,FFext,6,CHY059-V
19,FFext,7,PEL180
19,FFext,8,ILA027-N
19,FFext,9,ABBAR--T
19,NF28,0,NF8202922
19,NF28,1,NF8201262
19,NF28,2,NF8201262
